"lang"	"left_context"	"center"	"right_context"	"title"
"11"	"rus"	" Тоска размазывает душу на тысячи световых"	"дотянуться"	" бы пробежать по траве босиком"	"[Наталья Метелева. Ярь (2008) | Н. Метелева. Ярь (Наталія Дев'ятко, 2008)]"
"12"	"ukr"	" Туга розмазує душу на тисячі світлових дотягнутися б пробігтися б по траві босоніж"	""	""	"[Наталья Метелева. Ярь (2008) | Н. Метелева. Ярь (Наталія Дев'ятко, 2008)]"
"13"	"rus"	" И то что все описанное для нас его потомков лишь повседневная несколько прискучившая реальность лишь"	"доказывает"	" как он точно все предвидел"	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"14"	"ukr"	" І те що все описане для нас його нащадків лише повсякденна така що дещо надокучила реальність лише доводить як він точно все передбачав"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"15"	"rus"	" В научной фантастике порой"	"достигается"	" парадоксальный результат то что книга безнадежно устаревает становится нечитаемой есть самый верный залог бессмертия ее автора"	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"16"	"ukr"	" У науковій фантастиці інколи досягається парадоксальний результат те що книга безнадійно застаріває стає нечитабельною є найвірнішою запорукою безсмертя її автора"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"17"	"rus"	" Набрал их полный подол и пошел"	"домой"	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"18"	"ukr"	" Набрав їх повний поділ та й пішов додому"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"19"	"rus"	" Может быть именно эта отстраненность от суеты цивилизации многократно усиленная глухотой и как следует из воспоминаний близких абсолютно несносным характером и дала возможность предельно сконцентрироваться на идеях которые в других условиях Циолковский вряд ли"	"довел"	" бы до конца"	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"20"	"ukr"	" Можливо саме ця відстороненість від суєти цивілізації багато разів посилена глухотою і як випливає зі спогадів близьких абсолютно нестерпним характером і дала можливість гранично концентруватися на ідеях які в інших умовах Ціолковській навряд чи довів би до кінця"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"21"	"rus"	" Страстно запойно читать Циолковский начал с детства и читал все что можно было"	"достать"	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"22"	"ukr"	" Пристрасно запійне читати Ціолковській почав з дитинства і читав все що можна було дістати"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"23"	"rus"	" Конечно она ни к чему не повела если бы не встретила помощи науки Кажется"	"добавить"	" нечего Не проекты и точные расчеты сообщает фантастика науке а когда и пытается то чаще всего попадает впросак но нечто более ценное"	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"24"	"ukr"	" Звичайно вона ні до чого не призвела якби не зустріла допомоги науки Здається додати нічого Не проекти та точні розрахунки повідомляє фантастика науці а коли й намагається то найчастіше втрапляє в халепу але щось цінніше"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"25"	"rus"	" Но как популяризировать научную дисциплину которую еще предстояло создать Циолковский привык до всего"	"доходить"	" сам И он обращается к научной фантастике понимая ее конечно по-своему"	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"26"	"ukr"	" Але як популяризувати наукову дисципліну яку ще належало створити Ціолковській звик до всього доходити сам І він звертається до наукової фантастики розуміючи її звичайно по-своєму"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"27"	"rus"	" Ему казалось что только она позволит доходчиво и образно"	"довести"	" до широкой аудитории мысли и идеи имевшие по его мнению всепланетное значение Фантастические рассказы на темы межпланетных рейсов несут новую мысль в массы"	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"28"	"ukr"	" Йому здавалося що тільки вона дозволить дохідливо й образно донести до широкої аудиторії думки та ідеї що мали на його думку всепланетне значення Фантастичні розповіді на теми міжпланетних рейсів несуть нову думку в маси"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"29"	"rus"	" Он до всего повторяю"	"доходил"	" сам без подсказок"	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"30"	"ukr"	" Він до всього повторюю доходив сам без підказок"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"31"	"rus"	" В качестве широчайшего веера пионерских идей источника вдохновения для целых поколений писателей и читателей фантастики среди которых немало было и таких кому"	"довелось"	" осуществить многие дерзкие проекты калужского мечтателя значение его фантазий трудно переоценить"	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"32"	"ukr"	" В якості найширшого віяла піонерських ідей джерела натхнення для цілих поколінь письменників та читачів фантастики серед яких немало було й таких кому довелося здійснити багато зухвалих проектів калузького мрійника значення його фантазій важко переоцінити"	""	""	"[Вл. Гаков. Звездный сеятель (2007) | Вл. Гаков. Зоряний сіяч (2007-2010)]"
"33"	"rus"	" Взять к примеру ту же космическую оперу Так и хочется"	"добавить"	" пресловутую Кто только в 1960 е годы не отметился в ритуальном вытирании ног о злосчастный жанр произведения коего хотя бы в порядке информации отечественного читателя о царящих у них литературных нравах наши издатели переводить не торопились"	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"34"	"ukr"	" Взяти наприклад ту ж саму космічну оперу Так і хочеться додати горезвісну Хто тільки в 1960 і роки не відзначився в ритуальному витиранні ніг об злощасний жанр твори якого хоч б у порядку інформування вітчизняного читача про пануючі у них літературні вподобання наші видавці перекладати не поспішали"	""	""	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"35"	"rus"	" Признанных оперных солистов Эдварда Дока Смита Джека Уильямсона и Эдмонда Гамильтона печатать более или менее регулярно начали только в 1990 х [Хотя Звездных королей последнего в самиздате читали а отдельные строго"	"дозированные"	" якобы положительные образцы раскритикованного жанра к примеру те же Саргассы в космосе мало кому в ту пору известной Андрэ Нортон разумеется еще больше запутывали истинную картину"	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"36"	"ukr"	" Визнаних оперних солістів Едварда Дока Сміта Джека Вільямсона та Едмонда Гамільтона друкувати більш-менш регулярно почали тільки в 1990 х хоча Зоряних королів останнього в самвидаві читали а окремі строго дозовані нібито позитивні зразки розкритикованого жанру наприклад ті ж самі Саргасси в космосі мало кому в ту пору відомої Андре Нортон певним чином ще більше заплутували дійсну картину"	""	""	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"37"	"rus"	" Роман назывался Робинзоны Космоса и в 60 е годы когда научную фантастику не покупали а"	"доставали"	" и с немалым трудом книжку с красными стилизованными кентаврами на обложке можно было увидеть на любом развале"	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"38"	"ukr"	" Роман називався Робінзони Космосу і в 60 і роки коли наукову фантастику не купували а діставали і з чималим трудом книжку з червоними стилізованими кентаврами на обкладинці можна було побачити на будь-якому розвалі"	""	""	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"39"	"rus"	" Более того светлый пример француза Карсака как бы оттенял собой ту по мнению писавших беспардонную антигуманную насквозь упадническую пронизанную насилием и ксенофобией космическую оперу авторов естественно поголовно заокеанских которой стало быть мало еще"	"досталось"	""	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"40"	"ukr"	" Більш того світлий приклад француза Карсака начебто відтіняв собою ту на думку тих що писали про нього безпардонну антигуманну наскрізь занепадницьку пронизану насильством та ксенофобією космічну оперу авторів природно поголовно заокеанських якій отже малувато ще й дісталося"	""	""	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"41"	"rus"	" Он также переведен и издавался на русском языке не раз поэтому лишь напомню действие происходит в далеком будущем когда не"	"дожидаясь"	" предсказанного учеными неизбежного взрыва Солнца в долгое звездное плавание отправляется совершенно уже необычный космический корабль весь земной шар снятый нашими далекими потомками с привычной орбиты"	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"42"	"ukr"	" Він теж перекладений і видавався російською мовою не раз тому лише нагадаю дія відбувається в далекому майбутньому коли не чекаючи передбаченого науковцями неминучого вибуху Сонця в довге зоряне плавання відправляється абсолютно вже незвичайний космічний корабель уся земна куля знята нашими далекими нащадками зі звичної орбіти"	""	""	"[Вл. Гаков. Возвращение космического робинзона (2001) | Вл. Гаков. Повернення космічного робінзону (2001-2010)]"
"43"	"rus"	" Вордсворт"	"добавил"	" несколько деталей в частности герой поэмы должен совершить какое-то преступление чтобы дальнейшее развитие сюжета воспринималось как расплата подсказал и само преступление убийство белого альбатроса"	"[Е. Зыкова. Певец Озерного края [Предисловие к кн.: Уильям Вордсворт. Избранная лирика. М.: Радуга, 2001.] (2001) | К. Зикова. Уїльям Вордсворт — співець Озерного краю (Едіт Богацька, 2009)]"
"44"	"ukr"	" Вордсворт додав кілька деталей зокрема герой поеми мав вчинити якийсь злочин щоб подальший сюжет сприймався як розплата підказав і сам злочин убивство білого альбатроса"	""	""	"[Е. Зыкова. Певец Озерного края [Предисловие к кн.: Уильям Вордсворт. Избранная лирика. М.: Радуга, 2001.] (2001) | К. Зикова. Уїльям Вордсворт — співець Озерного краю (Едіт Богацька, 2009)]"
"45"	"rus"	" Два поэта относились к совершенно разным типам поэтической и человеческой личности но этой разностью темпераментов и дарований прекрасно"	"дополняли"	" друг друга что и делало их общение таким плодотворным"	"[Е. Зыкова. Певец Озерного края [Предисловие к кн.: Уильям Вордсворт. Избранная лирика. М.: Радуга, 2001.] (2001) | К. Зикова. Уїльям Вордсворт — співець Озерного краю (Едіт Богацька, 2009)]"
"46"	"ukr"	" Два поети належали до абсолютно різних типів поетичної та людської особистості але цією різницею темпераментів й обдарувань прекрасно доповнювали один одного що й робило їхнє спілкування таким плідним"	""	""	"[Е. Зыкова. Певец Озерного края [Предисловие к кн.: Уильям Вордсворт. Избранная лирика. М.: Радуга, 2001.] (2001) | К. Зикова. Уїльям Вордсворт — співець Озерного краю (Едіт Богацька, 2009)]"
"47"	"rus"	" В 1828 г он вместе с дочерью"	"Дорой"	" и Кольриджем путешествовал по долине Рейна в Германии где их встретил английский путешественник Томас Граттон оставивший их описание Кольридж был ростом около пяти футов пяти дюймов полный и ленивый на вид но не толстый"	"[Е. Зыкова. Певец Озерного края [Предисловие к кн.: Уильям Вордсворт. Избранная лирика. М.: Радуга, 2001.] (2001) | К. Зикова. Уїльям Вордсворт — співець Озерного краю (Едіт Богацька, 2009)]"
"48"	"ukr"	" У 1828 р він разом з дочкою Дорою та Кольріджем подорожував долиною Рейну в Німеччині де їх зустрів англійський мандрівник Томас Ґраттон що залишив такий опис Кольрідж був зросту близько п'яти футів п'яти дюймів гладкий і лінивий на вигляд але не товстий"	""	""	"[Е. Зыкова. Певец Озерного края [Предисловие к кн.: Уильям Вордсворт. Избранная лирика. М.: Радуга, 2001.] (2001) | К. Зикова. Уїльям Вордсворт — співець Озерного краю (Едіт Богацька, 2009)]"
"49"	"rus"	" Но единственным его произведением официального характера стала Ода на введение его королевского высочества принца Альберта в должность канцлера Кембриджского университета 1847 г к тому же им не законченная и"	"дописанная"	" его племянником епископом Линкольнским"	"[Е. Зыкова. Певец Озерного края [Предисловие к кн.: Уильям Вордсворт. Избранная лирика. М.: Радуга, 2001.] (2001) | К. Зикова. Уїльям Вордсворт — співець Озерного краю (Едіт Богацька, 2009)]"
"50"	"ukr"	" Але єдиним його твором офіційного характеру стала Ода на введення його королівської величності принца Альберта на посаду канцлера Кембриджського університету 1847 р до того ж ним не закінчена й дописана його племінником єпископом Лінкольнським"	""	""	"[Е. Зыкова. Певец Озерного края [Предисловие к кн.: Уильям Вордсворт. Избранная лирика. М.: Радуга, 2001.] (2001) | К. Зикова. Уїльям Вордсворт — співець Озерного краю (Едіт Богацька, 2009)]"
"51"	"rus"	" Под покойника сволочь работает пожаловался он Знает чем"	"достать"	" Я ж их покойников с детства боюсь"	"[Л. Лукина, Е. Лукин. Отдай мою посадочную ногу! (1981-2001) | Л. Лукіна, Є. Лукін. Віддай мою посадкову ногу! (Л. Лукіна, Є. Лукін, 2001)]"
"52"	"rus"	" А если так ты ему отдаешь эту хреновину Да нет ты погоди ты"	"дослушай"	" А я тебе на заводе склепаю такую же"	"[Л. Лукина, Е. Лукин. Отдай мою посадочную ногу! (1981-2001) | Л. Лукіна, Є. Лукін. Віддай мою посадкову ногу! (Л. Лукіна, Є. Лукін, 2001)]"
"53"	"ukr"	" А якщо так ти йому вiддаєш цю трубу [...] А я тобi на заводi склепаю таку ж"	""	""	"[Л. Лукина, Е. Лукин. Отдай мою посадочную ногу! (1981-2001) | Л. Лукіна, Є. Лукін. Віддай мою посадкову ногу! (Л. Лукіна, Є. Лукін, 2001)]"
"54"	"rus"	" Лицо отчаянное труба на коленях До белой горячки ведь"	"допьешься"	" сказал Леха Петро замычал раскачиваясь"	"[Л. Лукина, Е. Лукин. Отдай мою посадочную ногу! (1981-2001) | Л. Лукіна, Є. Лукін. Віддай мою посадкову ногу! (Л. Лукіна, Є. Лукін, 2001)]"
"55"	"ukr"	" Обличчя вiдчайдушне труба на колiнах [...] [...]"	""	""	"[Л. Лукина, Е. Лукин. Отдай мою посадочную ногу! (1981-2001) | Л. Лукіна, Є. Лукін. Віддай мою посадкову ногу! (Л. Лукіна, Є. Лукін, 2001)]"
"56"	"rus"	" А теперь"	"дознались"	" кто их поест у того на всю жизнь в грудях хрипы и булькотня"	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"57"	"ukr"	" А зараз вже дізналися хто їх покуштує тому все життя у грудях хрипітиме булькотітиме"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"58"	"rus"	""	"Домчит"	" до рабочей избы и встанет как вкопанный на все четыре ноги только мохнатые бока ходуном ходят хы хы хы хы"	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"59"	"ukr"	" Домчить до Робочої Хати та й стане як укопаний на всі чотири ноги тільки волохаті боки ходором ходять хиии хи хиии хи"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"60"	"rus"	" Так моей старухе огнецов и не"	"досталось"	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"61"	"ukr"	" Так моя стара без каганців і залишилася"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"62"	"rus"	" Это теперь говорят бревно"	"долбят"	" да на воду спускают"	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"63"	"ukr"	" Це вже зараз кажуть колоду довбають та на воду пускають"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"64"	"rus"	" Я голубушка в молодые то годы мог на одной ноге отсюда как вон до того пригорка"	"допрыгать"	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"65"	"ukr"	" Та я голубонько замолоду міг звідси та о о о он аж до того пагорба на одній нозі дострибати"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"66"	"rus"	" Рассказал еще чеченец про страсти лесные про то как тропинки различать которые всамделишные а которые морок один зеленый пар травяная кудель волшебство и наваждение все приметы"	"доложил"	" про то как русалка на заре поет кулдычет водяные свои песни поначалу низко так глубоко возьмет ы ы ы ы ы потом выше забирает оуааа оуааа тогда держись гляди в оба не то в реку затянет а уж когда песня на визг пойдет ййих ййих тут уж беги мужик без памяти"	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"67"	"ukr"	" Розповів іще чеченець про страхіття лісові та як стежки розпізнавать які справдешні а які обмара зелена пара трав'яна куделя відьомська омана всі ознаки розписав про те як русалка на світанку співає кулдиче водяні свої пісні спочатку низенько так глибоко візьме и и и и и потім вище забирає оуааа оуааа ой дивися стережися бо ще затягне в річку а як уже на вереск перейде ййих ййих отоді вже дядьку ноги в руки та тікать"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"68"	"rus"	" Пришла"	"домой"	" холстину отдернула батюшки-светы пера нету а вместо пера говешки"	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"69"	"ukr"	" Прийшли додому ряднинку підняли батюшки светы нема пір'ячка а замість пір'ячка гіменце"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"70"	"rus"	" А еще чтобы огнец не"	"догадался"	" что это дескать люди"	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"71"	"ukr"	" А ще для того шоб каганець не здогадався шо то мовляв люди"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"72"	"rus"	" Бенедикт иной раз"	"допытывался"	" у матушки отчего да отчего был Взрыв"	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"73"	"ukr"	" Бенедикт другим разом допитувався у матінки чого та чого був Взрив"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"74"	"rus"	" Будто люди играли и"	"доигрались"	" с АРУЖЫЕМ"	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"75"	"ukr"	" Мовляв люди гралися і догралися с АРУЖИЄМ"	""	""	"[Татьяна Толстая. Кысь (1986-2000) | Тетяна Толстая. Кись (Ноель Даат, 2000-2010)]"
"76"	"rus"	" На самом деле пятнадцать лет растянулись на всю жизнь Аполлинера Анжелика Костровицкая умерла спустя четыре месяца после кончины ее старшего сына и в старости"	"донимая"	" его ревностью и капризами"	"[Михаил Яснов. Гийом Аполлинер (1999) | М. Д. Яснов. Аполлінер Г. Алкоголі (Едіт Богацька, 1999)]"
"77"	"ukr"	" Насправді п'ятнадцять років розтягнулися на все життя Аполлінера Анжеліка Костровицька померла через чотири місяці після кончини її старшого сина і в старості дошкуляючи йому ревнощами та забаганками"	""	""	"[Михаил Яснов. Гийом Аполлинер (1999) | М. Д. Яснов. Аполлінер Г. Алкоголі (Едіт Богацька, 1999)]"
"78"	"rus"	" И хотя премия Ересиарху не"	"досталась"	" в этой книге Аполлинер заявил о себе как замечательный прозаик тонко улавливающий дух своего времени"	"[Михаил Яснов. Гийом Аполлинер (1999) | М. Д. Яснов. Аполлінер Г. Алкоголі (Едіт Богацька, 1999)]"
"79"	"ukr"	" І хоча премії Єресіарху не присудили в цій книзі Аполлінер заявив про себе як чудовий прозаїк що тонко відчував дух свого часу"	""	""	"[Михаил Яснов. Гийом Аполлинер (1999) | М. Д. Яснов. Аполлінер Г. Алкоголі (Едіт Богацька, 1999)]"
"80"	"rus"	" К концу своей недолгой жизни Аполлинер"	"добился"	" не только признания казалось были удовлетворены и две его главные страсти он обрел наконец взаимную любовь что же до мистификации то даже с его смертью была сыграна достойная шутка"	"[Михаил Яснов. Гийом Аполлинер (1999) | М. Д. Яснов. Аполлінер Г. Алкоголі (Едіт Богацька, 1999)]"
"81"	"ukr"	" На кінець свого недовгого життя Аполлінер домігся не тільки визнання здавалося були задоволені й дві його головні пристрасті він знайшов нарешті взаємне кохання щодо містифікацій то навіть з його смертю було зіграно гідний поета жарт"	""	""	"[Михаил Яснов. Гийом Аполлинер (1999) | М. Д. Яснов. Аполлінер Г. Алкоголі (Едіт Богацька, 1999)]"
"82"	"rus"	" Видно от радости от упоения Открытием все мы несколько тронулись Иначе не могу объяснить те серьезнейшие нарушения основных инструкций которые были"	"допущены"	" нами в первые же часы Странности начались с зондирования"	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"83"	"ukr"	" [...] [...] Складнощі почалися із зондування"	""	""	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"84"	"rus"	" Если сейчас извне"	"донесется"	" шипение свист обращающейся в пар морской воды значит мы в чужом океане при полном неведении погодных условий завал"	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"85"	"ukr"	" Якщо зараз іззовні долине сичання свист морської води що перетворюється в пару отже ми в чужому океані за повного незнання погодних умов завал"	""	""	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"86"	"rus"	" Огня и то не"	"добудешь"	" чтобы еду согреть не из чего и нечем"	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"87"	"ukr"	" Вогню навіть не добудеш аби їжу зігріти нема з чого і нічим"	""	""	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"88"	"rus"	" Я кричал Сашка оправдывался оба осипли но ни до чего умного не"	"договорились"	""	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"89"	"ukr"	" Я кричав Сашко виправдовувався обидва охрипли та ні до чого розумного не добалакались"	""	""	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"90"	"rus"	" Досконально знают наш язык раз"	"Добрались"	" до информатория как два Разбираются в земных реалиях животный мир телефон одеколон Маршак наконец и прочее три"	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"91"	"ukr"	" Досконало володіють нашою мовою раз Дорвалися до інформаторів два Знаються на земних реаліях тваринний світ телефон одеколон Маршак нарешті три"	""	""	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"92"	"rus"	" [...]"	"Допустим"	" [...]"	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"93"	"ukr"	" Тьху Дві мацапури в ролі естрадного жюрі отак Схоже схоже Саме цю реакцію вони від нас і одержали"	""	""	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"94"	"rus"	" Откуда-то сверху до нашего слуха"	"донесся"	" тихий свист"	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"95"	"ukr"	" Звідкись згори до нашого слуху донісся тихий свист"	""	""	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"96"	"rus"	" [...] Ну что Саша пора"	"домой"	" Пора Костя спокойно ответил Александр как-то странно глядя на меня"	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"97"	"ukr"	" А я подивився на Олександра і зненацька мовив слова що їх зовсім і не прагнув говорити вони самохіть зірвалися з язика То що Сашо час додому Час Костю спокійно відповів він якось дивно позираючи на мене"	""	""	"[Виталий Бабенко. До следующего раза (1973-1987) | В. Т. Бабенко. До наступного разу (1988)]"
"98"	"rus"	""	"Догадывался"	" почему стал космическим волком Макивчук почему прославленный капитан почти не бывает на Земле почти не уходит в отпуск да и тогда околачивается в Звездном флоте"	"[Юрий Никитин. Здесь все проще и легче (1985) | Ю. Нікітін. Тут все простіше і легше (Віталій Геник, 1995-2010)]"
