"lang"	"left_context"	"center"	"right_context"	"title"
"20"	"rus"	" Приятное впечатление произвели слова искренней благодарности освобожденных из плена моряков Фаины в адрес военнослужащих американских боевых кораблей которые постоянно находились рядом помогали продовольствием водой и медикаментами и держали сомалийских джентльменов удачи под прицелом своих орудий чтобы те не делали глупостей"	""	""	"[Ігор Лосєв. «Гайд-парк» для «піонерів» (2009) | Игорь Лосев. «Гайд-парк» для «пионеров» (2009)]"
"21"	"ukr"	" А тепер Мороз знову якраз до президентських виборів повертається в політику про що свідчать численні стенди де на рожевому фоні до електорату звертається"	"добрий"	" сивоволосий дідусь із гаслами Здолали брехню здолаємо руїну Здолаємо руїну збудуємо Україну"	"[Ігор Лосєв. «Гайд-парк» для «піонерів» (2009) | Игорь Лосев. «Гайд-парк» для «пионеров» (2009)]"
"22"	"rus"	" А теперь Мороз снова аккурат к президентским выборам возвращается в политику о чем свидетельствуют многочисленные стенды где на розовом фоне к электорату обращается добрый седовласый дедушка со слоганами Здолали брехню здолаємо руїну Здолаємо руїну збудуємо Україну"	""	""	"[Ігор Лосєв. «Гайд-парк» для «піонерів» (2009) | Игорь Лосев. «Гайд-парк» для «пионеров» (2009)]"
"23"	"ukr"	" Темні сторони війни й нагадування якою кров'ю Сталін"	"досягнув"	" цієї перемоги це нагадування про те як не повинні будуватися відносини влади та суспільства"	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"24"	"rus"	" Темные стороны войны и то какой кровью Сталин достиг этой победы это напоминание о том как не должны строиться отношения власти и общества"	""	""	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"25"	"ukr"	" Коли пригадав він про тих хто загинув у боях у величезній небаченій в історії чисельності я зняв із голови убір"	"Дощило"	" Озирнувшись я зауважив що шапки більше ніхто не зняв"	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"26"	"rus"	" Когда вспомнил он о тех кто пал в боях в огромных неведомых в истории количествах я снял с головы убор Шел дождь Оглянувшись я заметил что шапки больше никто не снял"	""	""	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"27"	"ukr"	" Але йому суспільству тобто кожному з нас треба принаймні не заважати а відтак"	"дозволити"	" правді вийти назовні не замовчувати і звісно ж не брехати"	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"28"	"rus"	" Но ему обществу то есть каждому из нас нужно как минимум не мешать а значит позволить правде выйти наружу не умалчивать и уж конечно не лгать"	""	""	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"29"	"ukr"	" Наприклад ведуча Ділового каналу Тетяна Чугаєнко яка прикрасила себе радянсько імперською Георгіївської стрічкою ця стрічка царського ордена Св Георгія була пристосована Й В Сталіним до радянського ордена Слави тоді коли Сталін відновлював спадкоємність між СРСР та імперією Романових запросила до студії ветерана полковника який переконано"	"доводив"	" що бійці УПА давали клятву на вірність Гітлеру"	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"30"	"rus"	" К примеру ведущая Делового канала Татьяна Чугаенко украсившая себя советско имперской Георгиевской лентой эта лента царского ордена Св Георгия была приспособлена И В Сталиным к советскому ордену Славы тогда когда Сталин восстанавливал преемственность между СССР и империей Романовых пригласила в студию ветерана полковника который убежденно доказывал что бойцы УПА давали клятву на верность Гитлеру"	""	""	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"31"	"ukr"	" Виробництво переважної більшості зразків сучасного озброєння"	"довелося"	" б зупинити"	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"32"	"rus"	" Производство подавляющего большинства образцов современного вооружения пришлось бы остановить"	""	""	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"33"	"ukr"	" Союз"	"дотримувався"	" угод щодо цих поставок аж до 22 червня 1941 року незважаючи на те що німці зі свого боку відступали від них"	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"34"	"rus"	" Советы соблюдали соглашения по этим поставкам вплоть до 22 июня 1941 года несмотря на то что немцы со своей стороны отступали от них"	""	""	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"35"	"ukr"	" Наскільки мудро вчинив Роман Чайка який не запросив політиків на обговорення надзвичайно важливої теми"	"довів"	" від супротивного Савік Шустер який вчинив навпаки"	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"36"	"rus"	" Насколько мудро поступил Роман Чайка не пригласивший политиков на обсуждение чрезвычайно важной темы доказал от противного Савик Шустер поступивший наоборот"	""	""	"[Ігор Лосєв. Грім барабанів, рев фанфар і ледве чутний голос правди... (2009) | Игорь Лосев. Гром барабанов, рев фанфар и еле слышный голос правды... (2009)]"
"37"	"ukr"	" Водночас ми не повинні"	"допускати"	" використання чутливої совісті українців у чиїхось корисливих інтересах"	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"38"	"rus"	" В то же время мы не должны допускать использования чувствительной совести украинцев в чьих-либо корыстных интересах"	""	""	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"39"	"ukr"	" До слова на початку 90 х Івану Дем'янюку вже"	"доводилось"	" бувати на лаві підсудних"	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"40"	"rus"	" К слову в начале 90 х Ивану Демьянюку уже приходилось бывать на скамье подсудимых"	""	""	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"41"	"ukr"	" Тим більше що його вину ще ніхто не"	"довів"	""	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"42"	"rus"	" Тем более что его вину еще никто не доказал"	""	""	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"43"	"ukr"	" Можливо ФРН таким шляхом"	"досягала"	" національного примирення"	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"44"	"rus"	" Возможно ФРГ таким путем достигала национального примирения"	""	""	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"45"	"ukr"	" Тепер це правосуддя має або абсолютно чітко неспростовно й переконливо для всіх"	"дожити"	" вину Івана Дем'янюка або виправдати його і надати можливість спокійно своє життя компенсувавши йому та його родині всі моральні й матеріальні збитки"	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"46"	"rus"	" Теперь это правосудие должно либо абсолютно четко неопровержимо и убедительно для всех доказать вину Ивана Демьянюка либо оправдать его и предоставить возможность спокойно дожить свою жизнь компенсировав ему и его семье все моральные и материальные убытки"	""	""	"[Ігор Лосєв. Дивна справа Дем’янюка (2009) | Игорь Лосев. Странное дело Демьянюка (2009)]"
"47"	"ukr"	" Інформаційний простір міста Севастополя перебуває під тотально"	"домінуючим"	" російським впливом що є наслідком не лише російської активності але й пасивності української влади"	"[Ігор Лосєв. Закон із «секретом» (2009) | Игорь Лосев. Закон с «секретом» (2009)]"
"48"	"rus"	" Информационное пространство города Севастополя пребывает под тотально доминирующим российским влиянием что является следствием не только активности российской но и пассивности украинской власти"	""	""	"[Ігор Лосєв. Закон із «секретом» (2009) | Игорь Лосев. Закон с «секретом» (2009)]"
"49"	"ukr"	" А почнеться все з референдуму так у нас"	"домовлено"	" Известия 14 квітня 1995 р"	"[Ігор Лосєв. Закон із «секретом» (2009) | Игорь Лосев. Закон с «секретом» (2009)]"
"50"	"rus"	" А начнется все с референдума так у нас договорено Известия 14 апреля 1995 г"	""	""	"[Ігор Лосєв. Закон із «секретом» (2009) | Игорь Лосев. Закон с «секретом» (2009)]"
"51"	"ukr"	" А через тиждень після обрання Юрія Мєшкова президентом Криму 7 лютого 1994 р в штабі Чорноморського флоту відбулася його зустріч із командувачем адміралом Е Балтіним де було"	"досягнуто"	" домовленість про підтримку курсу на збереження базування російського флоту в Криму і надання допомоги Мєшкову в його проросійській діяльності"	"[Ігор Лосєв. Закон із «секретом» (2009) | Игорь Лосев. Закон с «секретом» (2009)]"
"52"	"rus"	" А через неделю после избрания Юрия Мешкова президентом Крыма 7 февраля 1994 г в штабе Черноморского флота состоялась его встреча с командующим адмиралом Э Балтиным где была достигнута договоренность о поддержке курса на сохранение базирования российского флота в Крыму и оказание помощи Мешкову в его пророссийской деятельности"	""	""	"[Ігор Лосєв. Закон із «секретом» (2009) | Игорь Лосев. Закон с «секретом» (2009)]"
"53"	"ukr"	" А щодо вітчизняного телеканалу Культура то боюся що йому не"	"допоможуть"	" навіть фінансові вливання оскільки сама його концепція справляє враження деякої убогості філософії"	"[Ігор Лосєв. Псевдоісторичні міфи в телевізійному виконанні (2009) | Игорь Лосев. Псевдоисторические мифы в телевизионном исполнении (2009)]"
"54"	"rus"	" А что касается отечественного телеканала Культура то боюсь что ему не помогут даже финансовые вливания поскольку сама его концепция производит впечатление некоторой нищеты философии"	""	""	"[Ігор Лосєв. Псевдоісторичні міфи в телевізійному виконанні (2009) | Игорь Лосев. Псевдоисторические мифы в телевизионном исполнении (2009)]"
"55"	"ukr"	" А значить"	"доводиться"	" транслювати західне або російське"	"[Ігор Лосєв. Псевдоісторичні міфи в телевізійному виконанні (2009) | Игорь Лосев. Псевдоисторические мифы в телевизионном исполнении (2009)]"
"56"	"rus"	" А значит приходится прокатывать западное или российское"	""	""	"[Ігор Лосєв. Псевдоісторичні міфи в телевізійному виконанні (2009) | Игорь Лосев. Псевдоисторические мифы в телевизионном исполнении (2009)]"
"57"	"ukr"	" За весь період військових"	"дій"	" на Ленінград не падали фінські бомби й снаряди маршал заборонив своїй авіації навіть літати над ним"	"[Ігор Лосєв. Псевдоісторичні міфи в телевізійному виконанні (2009) | Игорь Лосев. Псевдоисторические мифы в телевизионном исполнении (2009)]"
"58"	"rus"	" За весь период военных действий на Ленинград не падали финские бомбы и снаряды маршал запретил своей авиации даже летать над ним"	""	""	"[Ігор Лосєв. Псевдоісторичні міфи в телевізійному виконанні (2009) | Игорь Лосев. Псевдоисторические мифы в телевизионном исполнении (2009)]"
"59"	"ukr"	" Чималий стаж телевізійного оглядача"	"дозволяє"	" зробити певні узагальнення щодо особливостей вітчизняного телесвіту"	"[Ігор Лосєв. Хай живуть українські «граблі»! (2009) | Игорь Лосев. Да здравствуют украинские «грабли»! (2009)]"
"60"	"rus"	" Немалый стаж телевизионного обозревателя позволяет сделать кое-какие обобщения касающиеся особенностей отечественного телемира"	""	""	"[Ігор Лосєв. Хай живуть українські «граблі»! (2009) | Игорь Лосев. Да здравствуют украинские «грабли»! (2009)]"
"61"	"ukr"	" А до ідеї соціальної відповідальності бізнесу"	"доростуть"	" хіба що внуки нинішніх олігархів"	"[Ігор Лосєв. Хай живуть українські «граблі»! (2009) | Игорь Лосев. Да здравствуют украинские «грабли»! (2009)]"
"62"	"rus"	" А до идеи социальной ответственности бизнеса дорастут разве что внуки нынешних олигархов"	""	""	"[Ігор Лосєв. Хай живуть українські «граблі»! (2009) | Игорь Лосев. Да здравствуют украинские «грабли»! (2009)]"
"63"	"ukr"	" Один із присутніх журналістів висловився в тому дусі що судячи з останніх"	"дій"	" В А Ющенка він повністю перейшов на бік В Ф Януковича враховуючи зняття з посади голови Дніпропетровської обладміністрації Бондаря який висловився на підтримку Тимошенко"	"[Ігор Лосєв. Хай живуть українські «граблі»! (2009) | Игорь Лосев. Да здравствуют украинские «грабли»! (2009)]"
"64"	"rus"	" Один из присутствовавших журналистов высказался в том духе что судя по последним действиям В А Ющенко он полностью перешел на сторону В Ф Януковича учитывая снятие с должности главы Днепропетровской обладминистрации Бондаря высказавшегося в поддержку Тимошенко"	""	""	"[Ігор Лосєв. Хай живуть українські «граблі»! (2009) | Игорь Лосев. Да здравствуют украинские «грабли»! (2009)]"
"65"	"ukr"	" Міру неоднаковості фігурантів політичної сцени українцям"	"доведеться"	" дізнатися в найближчий час"	"[Ігор Лосєв. Хай живуть українські «граблі»! (2009) | Игорь Лосев. Да здравствуют украинские «грабли»! (2009)]"
"66"	"rus"	" Степень неодинаковости фигурантов политической сцены украинцам предстоит познать в самое ближайшее время"	""	""	"[Ігор Лосєв. Хай живуть українські «граблі»! (2009) | Игорь Лосев. Да здравствуют украинские «грабли»! (2009)]"
"67"	"ukr"	" Для одних будь-яка теледискусія є просто способом реалізувати власні комплекси зокрема неповноцінність тобто"	"довести"	" собі та іншим власну крутість блиснути дотепністю і ймовірним інтелектом безвідносно до питання що розглядається покрасуватися показати себе улюбленого у всій чарівності знову ж костюмчик новий продемонструвати потішитися власною популярністю"	"[Ігор Лосєв. Що ними керує? (2009) | Игорь Лосев. Что ими руководит? (2009)]"
"68"	"rus"	" Для одних любая теледискуссия является просто способом реализовать собственные комплексы в частности неполноценности то есть доказать себе и другим собственную крутость блеснуть остроумием и предполагаемым интеллектом безотносительно к рассматриваемому вопросу покрасоваться показать себя любимого во всем очаровании опять же костюмчик новый продемонстрировать насладиться собственной популярностью"	""	""	"[Ігор Лосєв. Що ними керує? (2009) | Игорь Лосев. Что ими руководит? (2009)]"
"69"	"ukr"	" А весь конструктив звівся в Януковича до заклику до Ющенка й Тимошенко сісти за круглий стіл і"	"домовитися"	" про дострокові парламентські та президентські вибори"	"[Ігор Лосєв. Що ними керує? (2009) | Игорь Лосев. Что ими руководит? (2009)]"
"70"	"rus"	" А весь конструктив свелся у Януковича к призыву к Ющенко и Тимошенко сесть за круглый стол и договориться о досрочных парламентских и президентских выборах"	""	""	"[Ігор Лосєв. Що ними керує? (2009) | Игорь Лосев. Что ими руководит? (2009)]"
"71"	"ukr"	" Сьогодні українцям"	"доводиться"	" стикатися з багатьма труднощами державотворення"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"72"	"rus"	" Сегодня украинцам приходится сталкиваться со множеством трудностей государствосоздания"	""	""	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"73"	"ukr"	""	"допоможе"	" собі самі і Бог вам"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"74"	"rus"	" Помогите себе сами и Бог вам поможет"	""	""	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"75"	"ukr"	" Аудиторія Льва Пінскера взялася"	"допоміг"	" собі сама і Бог дійсно їй"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"76"	"rus"	" Аудитория Льва Пинскера принялась помогать себе сама и Бог действительно ей помог"	""	""	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"77"	"ukr"	" Але одразу ж я відчув відразу до себе То це так ти хочеш"	"довести"	" що євреї придатні до фізичної праці"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"78"	"rus"	" Но тут же я почувствовал отвращение к себе Так-то ты хочешь доказать что евреи способны к физическому труду"	""	""	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"79"	"ukr"	" Скріпивши серце я знову схопив мотику і незважаючи на пронизливий біль в долонях майже півмертвий дві години підряд"	"довбав"	" землю а потім без сил звалився відпочивати"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"80"	"rus"	" Скрепя сердце я снова схватил мотыгу и несмотря на пронизывающую боль в ладонях почти полумертвый два часа подряд долбил землю а потом без сил свалился отдыхать"	""	""	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"81"	"ukr"	" Адже ж ізраїльським патріотам ще"	"довелося"	" пережити внутрішню мовну війну між прибічниками івриту та прибічниками ідіш"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"82"	"rus"	" А ведь израильским патриотам еще пришлось пережить внутреннюю языковую войну между сторонниками иврита и сторонниками идиш"	""	""	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"83"	"ukr"	" І щоб перейти з мови індоєвропейської лінгвістичної сім'ї на мову належну до семітської сім'ї слід було"	"докласти"	" чималих зусиль"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"84"	"rus"	" И чтобы перейти с языка индоеврейской лингвистической семьи на язык принадлежащий к семитской семье надо было приложить немалые усилия"	""	""	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"85"	"ukr"	" Адже ж євреям в Ізраїлі"	"довелося"	" згадати цілковито невідому багатьом з них мову котрою не говорив ніхто з їх предків протягом багатьох віків"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"86"	"rus"	" А ведь евреям в Израиле пришлось вспомнить совершенно неведомый многим из них язык на котором не говорил никто из их предков на протяжении многих веков"	""	""	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"87"	"ukr"	" В тому числі й головного успіху"	"досягає"	" лише той народ котрий готовий боротися і перемагати готовий приносити жертви в ім'я своєї цілі котрий вірить в свою ціль адже віра воістину творить дива"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"88"	"rus"	" В том числе и главному успеха добивается только тот народ который готов бороться и побеждать готов приносить жертвы во имя своей цели который верит в свою цель ибо вера воистину творит чудеса"	""	""	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
"89"	"ukr"	" А нам же ще"	"доведеться"	" поборотися за дійсно українську і дійсно незалежну державу"	"[Ігор Лосєв. Як вони виборювали свою країну і мову… (2009) | Игорь Лосев. Как они боролись за свою страну и язык... (2009)]"
